"drug1","drug2","type"
"AMINOPHYLLINE","CLARITHROMYCIN","CRITICAL"
"AMINOPHYLLINE","ENOXACIN","CRITICAL"
"AMINOPHYLLINE","ERYTHROMYCIN","CRITICAL"
"AMINOPHYLLINE","NORFLOXACIN","CRITICAL"
"AMINOPHYLLINE","OLEANDOMYCIN (AS TROLEANDOMYCIN)","CRITICAL"
"AMIODARONE","ANISINDIONE","CRITICAL"
"CISAPRIDE","AMIODARONE","CRITICAL"
"AMIODARONE","DICUMAROL","CRITICAL"
"AMIODARONE","DIGITALIS","CRITICAL"
"AMIODARONE","FOSAMPRENAVIR","CRITICAL"
"AMIODARONE","GATIFLOXACIN","CRITICAL"
"AMIODARONE","IBUTILIDE FUMARATE","CRITICAL"
"AMIODARONE","INDINAVIR SULFATE","CRITICAL"
"AMIODARONE","PHENPROCOUMON","CRITICAL"
"AMIODARONE","PIMOZIDE","CRITICAL"
"AMIODARONE","QUINIDINE","CRITICAL"
"AMIODARONE","RANOLAZINE","CRITICAL"
"AMIODARONE","RITONAVIR","CRITICAL"
"AMIODARONE","SAQUINAVIR","CRITICAL"
"AMIODARONE","SPARFLOXACIN","CRITICAL"
"AMIODARONE","THIORIDAZINE","CRITICAL"
"AMIODARONE","WARFARIN","CRITICAL"
"AMIODARONE","ZIPRASIDONE","CRITICAL"
"AMITRIPTYLINE","CISAPRIDE","CRITICAL"
"CISAPRIDE","AMITRIPTYLINE","CRITICAL"
"AMITRIPTYLINE","CLONIDINE","CRITICAL"
"AMITRIPTYLINE","FLUCONAZOLE","CRITICAL"
"AMITRIPTYLINE","ITRACONAZOLE","CRITICAL"
"AMITRIPTYLINE","KETOCONAZOLE","CRITICAL"
"AMITRIPTYLINE","PARGYLINE","CRITICAL"
"AMITRIPTYLINE","PHENELZINE","CRITICAL"
"AMITRIPTYLINE","SELEGILINE","CRITICAL"
"AMITRIPTYLINE","TRANYLCYPROMINE","CRITICAL"
"AMOBARBITAL","ANISINDIONE","CRITICAL"
"AMOBARBITAL","DICUMAROL","CRITICAL"
"AMOBARBITAL","PHENPROCOUMON","CRITICAL"
"AMOBARBITAL","WARFARIN","CRITICAL"
"AMOXAPINE","CISAPRIDE","CRITICAL"
"CISAPRIDE","AMOXAPINE","CRITICAL"
"AMOXAPINE","CLONIDINE","CRITICAL"
"AMOXAPINE","PARGYLINE","CRITICAL"
"AMOXAPINE","PHENELZINE","CRITICAL"
"AMOXAPINE","SELEGILINE","CRITICAL"
"AMOXAPINE","TRANYLCYPROMINE","CRITICAL"
"AMPHETAMINE","PARGYLINE","CRITICAL"
"AMPHETAMINE","PHENELZINE","CRITICAL"
"AMPHETAMINE","TRANYLCYPROMINE","CRITICAL"
"AMPHOTERICIN B","CIDOFOVIR","CRITICAL"
"AMPRENAVIR","BEPRIDIL","CRITICAL"
"AMPRENAVIR","CISAPRIDE","CRITICAL"
"AMPRENAVIR","DESOGESTREL","CRITICAL"
"ERGOT","AMPRENAVIR","CRITICAL"
"AMPRENAVIR","ETHINYL ESTRADIOL","CRITICAL"
"AMPRENAVIR","ETHYNODIOL DIACETATE","CRITICAL"
"AMPRENAVIR","LEVONORGESTREL","CRITICAL"
"AMPRENAVIR","LOVASTATIN","CRITICAL"
"AMPRENAVIR","MESTRANOL","CRITICAL"
"METHYLERGONOVINE","AMPRENAVIR","CRITICAL"
"AMPRENAVIR","METHYSERGIDE","CRITICAL"
"AMPRENAVIR","MIDAZOLAM","CRITICAL"
"NELFINAVIR MESYLATE","AMPRENAVIR","CRITICAL"
"AMPRENAVIR","NORELGESTROMIN","CRITICAL"
"AMPRENAVIR","NORETHINDRONE","CRITICAL"
"AMPRENAVIR","NORETHYNODREL","CRITICAL"
"AMPRENAVIR","NORGESTIMATE","CRITICAL"
"AMPRENAVIR","NORGESTREL","CRITICAL"
"AMPRENAVIR","RANOLAZINE","CRITICAL"
"AMPRENAVIR","RIFAMPIN","CRITICAL"
"AMPRENAVIR","RIFAPENTINE","CRITICAL"
"AMPRENAVIR","SIMVASTATIN","CRITICAL"
"AMPRENAVIR","TIPRANAVIR","CRITICAL"
"ANISINDIONE","BISMUTH","CRITICAL"
"ANISINDIONE","CARBAMAZEPINE","CRITICAL"
"ANISINDIONE","CIMETIDINE","CRITICAL"
"ANISINDIONE","CLOFIBRATE","CRITICAL"
"ANISINDIONE","DANAZOL","CRITICAL"
"ANISINDIONE","DISULFIRAM","CRITICAL"
"ANISINDIONE","FLUCONAZOLE","CRITICAL"
"ANISINDIONE","ITRACONAZOLE","CRITICAL"
"ANISINDIONE","KETOCONAZOLE","CRITICAL"
"ANISINDIONE","MAGNESIUM","CRITICAL"
"ANISINDIONE","MEPHOBARBITAL","CRITICAL"
"ANISINDIONE","MEPHOBARBITAL","CRITICAL"
"ANISINDIONE","METHYL SALICYLATE","CRITICAL"
"ANISINDIONE","MICONAZOLE","CRITICAL"
"ANISINDIONE","OXYPHENBUTAZONE","CRITICAL"
"ANISINDIONE","PENTOBARBITAL","CRITICAL"
"ANISINDIONE","PHENOBARBITAL","CRITICAL"
"ANISINDIONE","PHENYLBUTAZONE","CRITICAL"
"ANISINDIONE","PRIMIDONE","CRITICAL"
"ANISINDIONE","RIFAMPIN","CRITICAL"
"ANISINDIONE","SECOBARBITAL","CRITICAL"
"ANISINDIONE","SODIUM SALICYLATE","CRITICAL"
"ANISINDIONE","SODIUM THIOSALICYLATE","CRITICAL"
"APREPITANT","ASTEMIZOLE","CRITICAL"
"APREPITANT","CISAPRIDE","CRITICAL"
"APREPITANT","PIMOZIDE","CRITICAL"
"APREPITANT","TERFENADINE","CRITICAL"
"ARSENIC TRIOXIDE","ZIPRASIDONE","CRITICAL"
"ASPIRIN","METHOTREXATE","CRITICAL"
"ASTEMIZOLE","DARUNAVIR","CRITICAL"
"ASTEMIZOLE","EFAVIRENZ","CRITICAL"
"ATAZANAVIR SO4","ESOMEPRAZOLE","CRITICAL"
"ATAZANAVIR SO4","INDINAVIR SULFATE","CRITICAL"
"ATAZANAVIR SO4","IRINOTECAN HYDROCHLORIDE","CRITICAL"
"ATAZANAVIR SO4","OMEPRAZOLE","CRITICAL"
"ATAZANAVIR SO4","PANTOPRAZOLE","CRITICAL"
"ATAZANAVIR SO4","PIMOZIDE","CRITICAL"
"ATAZANAVIR SO4","RABEPRAZOLE NA","CRITICAL"
"ATAZANAVIR SO4","RANOLAZINE","CRITICAL"
"ATAZANAVIR SO4","RIFAPENTINE","CRITICAL"
"ATAZANAVIR SO4","TENOFOVIR","CRITICAL"
"ATENOLOL","VERAPAMIL","CRITICAL"
"ATOMOXETINE HCL","ISOCARBOXAZID","CRITICAL"
"ATOMOXETINE HCL","ISOCARBOXAZID","CRITICAL"
"ATOMOXETINE HCL","PHENELZINE","CRITICAL"
"ATOMOXETINE HCL","PHENELZINE","CRITICAL"
"ATOMOXETINE HCL","SELEGILINE","CRITICAL"
"ATOMOXETINE HCL","SELEGILINE","CRITICAL"
"ATOMOXETINE HCL","TRANYLCYPROMINE","CRITICAL"
"ATOMOXETINE HCL","TRANYLCYPROMINE","CRITICAL"
"ATORVASTATIN CALCIUM","CLARITHROMYCIN","CRITICAL"
"ATORVASTATIN CALCIUM","CYCLOSPORINE","CRITICAL"
"ATORVASTATIN CALCIUM","ERYTHROMYCIN","CRITICAL"
"ATORVASTATIN CALCIUM","GEMFIBROZIL","CRITICAL"
"ATORVASTATIN CALCIUM","ITRACONAZOLE","CRITICAL"
"ATORVASTATIN CALCIUM","KETOCONAZOLE","CRITICAL"
"ATORVASTATIN CALCIUM","NEFAZODONE","CRITICAL"
"ATORVASTATIN CALCIUM","NELFINAVIR MESYLATE","CRITICAL"
"ATORVASTATIN CALCIUM","VORICONAZOLE","CRITICAL"
"ATROPINE","PRAMLINTIDE","CRITICAL"
"AZATHIOPRINE","MERCAPTOPURINE","CRITICAL"
"ERYTHROMYCIN","AZITHROMYCIN","CRITICAL"
"AZITHROMYCIN","OXTRIPHYLLINE","CRITICAL"
"AZITHROMYCIN","THEOPHYLLINE","CRITICAL"
"AZITHROMYCIN","WARFARIN","CRITICAL"
"BACLOFEN","SODIUM OXYBATE","CRITICAL"
"BENAZEPRIL","INDOMETHACIN","CRITICAL"
"BENAZEPRIL","POTASSIUM ACETATE","CRITICAL"
"BENAZEPRIL","POTASSIUM BICARBONATE","CRITICAL"
"BENAZEPRIL","POTASSIUM CHLORIDE","CRITICAL"
"BENAZEPRIL","POTASSIUM CITRATE","CRITICAL"
"BENAZEPRIL","POTASSIUM GLUCONATE","CRITICAL"
"BENAZEPRIL","SPIRONOLACTONE","CRITICAL"
"BENAZEPRIL","TRIAMTERENE","CRITICAL"
"BENDROFLUMETHIAZIDE","LITHIUM","CRITICAL"
"BENZPHETAMINE","PARGYLINE","CRITICAL"
"BENZPHETAMINE","PHENELZINE","CRITICAL"
"","TRANYLCYPROMINE","CRITICAL"
"BENZTHIAZIDE","LITHIUM","CRITICAL"
"BEPRIDIL","BUMETANIDE","CRITICAL"
"CISAPRIDE","BEPRIDIL","CRITICAL"
"BEPRIDIL","ERYTHROMYCIN","CRITICAL"
"BEPRIDIL","FOSAMPRENAVIR","CRITICAL"
"BEPRIDIL","FUROSEMIDE","CRITICAL"
"BEPRIDIL","HYDROCHLOROTHIAZIDE","CRITICAL"
"QUETIAPINE FUMARATE","BEPRIDIL","CRITICAL"
"BETAXOLOL","VERAPAMIL","CRITICAL"
"BISMUTH","DICUMAROL","CRITICAL"
"BISMUTH","PHENPROCOUMON","CRITICAL"
"BISMUTH","WARFARIN","CRITICAL"
"BISOPROLOL FUMARATE","VERAPAMIL","CRITICAL"
"BOSENTAN","CYCLOSPORINE","CRITICAL"
"CISAPRIDE","BRETYLIUM","CRITICAL"
"BRETYLIUM","ERYTHROMYCIN","CRITICAL"
"BRIMONIDINE TARTRATE","PHENELZINE","CRITICAL"
"BRIMONIDINE TARTRATE","TRANYLCYPROMINE","CRITICAL"
"BUPRENORPHINE","SODIUM OXYBATE","CRITICAL"
"BUPROPION","PHENELZINE","CRITICAL"
"BUPROPION","RITONAVIR","CRITICAL"
"BUPROPION","TRANYLCYPROMINE","CRITICAL"
"BUSPIRONE","PHENELZINE","CRITICAL"
"BUSULFAN","METRONIDAZOLE","CRITICAL"
"BUTABARBITAL","SODIUM OXYBATE","CRITICAL"
"BUTORPHANOL","SODIUM OXYBATE","CRITICAL"
"CAPECITABINE","WARFARIN","CRITICAL"
"CAPTOPRIL","INDOMETHACIN","CRITICAL"
"CAPTOPRIL","SPIRONOLACTONE","CRITICAL"
"CAPTOPRIL","TRIAMTERENE","CRITICAL"
"CARBAMAZEPINE","CYCLOSPORINE","CRITICAL"
"CARBAMAZEPINE","DESOGESTREL","CRITICAL"
"CARBAMAZEPINE","DICUMAROL","CRITICAL"
"CARBAMAZEPINE","DIETHYLSTILBESTROL","CRITICAL"
"CARBAMAZEPINE","ESTRADIOL","CRITICAL"
"CARBAMAZEPINE","ESTROGENS","CRITICAL"
"CARBAMAZEPINE","ESTRONE","CRITICAL"
"CARBAMAZEPINE","ESTROPIPATE","CRITICAL"
"CARBAMAZEPINE","ETHYNODIOL DIACETATE","CRITICAL"
"CARBAMAZEPINE","ISONIAZID","CRITICAL"
"CARBAMAZEPINE","LEVOMETHADYL","CRITICAL"
"CARBAMAZEPINE","MEDROXYPROGESTERONE","CRITICAL"
"CARBAMAZEPINE","MESTRANOL","CRITICAL"
"CARBAMAZEPINE","NORETHINDRONE","CRITICAL"
"CARBAMAZEPINE","NORETHYNODREL","CRITICAL"
"CARBAMAZEPINE","NORGESTIMATE","CRITICAL"
"CARBAMAZEPINE","NORGESTREL","CRITICAL"
"CARBAMAZEPINE","PHENPROCOUMON","CRITICAL"
"CARBAMAZEPINE","QUINESTROL","CRITICAL"
"CARBAMAZEPINE","RITONAVIR","CRITICAL"
"CARBAMAZEPINE","WARFARIN","CRITICAL"
"CARISOPRODOL","SODIUM OXYBATE","CRITICAL"
"CARMUSTINE","CIMETIDINE","CRITICAL"
"CARTEOLOL","VERAPAMIL","CRITICAL"
"CERIVASTATIN SODIUM","CYCLOSPORINE","CRITICAL"
"CHLORDIAZEPOXIDE","SODIUM OXYBATE","CRITICAL"
"CHLOROTHIAZIDE","LITHIUM","CRITICAL"
"CHLOROTRIANISENE","FOSPHENYTOIN SODIUM","CRITICAL"
"CHLOROTRIANISENE","PHENOBARBITAL","CRITICAL"
"CHLOROTRIANISENE","PHENYTOIN","CRITICAL"
"CHLORPROMAZINE","CISAPRIDE","CRITICAL"
"CHLORPROMAZINE","ZIPRASIDONE","CRITICAL"
"CHLORPROPAMIDE","GATIFLOXACIN","CRITICAL"
"CHLORPROTHIXENE","CISAPRIDE","CRITICAL"
"CHLORTHALIDONE","LITHIUM","CRITICAL"
"CHLORZOXAZONE","SODIUM OXYBATE","CRITICAL"
"CHOLINE SALICYLATE","DICUMAROL","CRITICAL"
"CHOLINE SALICYLATE","METHOTREXATE","CRITICAL"
"CHOLINE SALICYLATE","PHENPROCOUMON","CRITICAL"
"CHOLINE SALICYLATE","WARFARIN","CRITICAL"
"CIDOFOVIR","FOSCARNET","CRITICAL"
"CIDOFOVIR","GENTAMICIN","CRITICAL"
"CIDOFOVIR","PENTAMIDINE","CRITICAL"
"CIDOFOVIR","RIFAMPIN","CRITICAL"
"CIDOFOVIR","TOBRAMYCIN","CRITICAL"
"CIMETIDINE","CISAPRIDE","CRITICAL"
"CIMETIDINE","DICUMAROL","CRITICAL"
"CIMETIDINE","DOFETILIDE","CRITICAL"
"CIMETIDINE","FOSPHENYTOIN SODIUM","CRITICAL"
"OMEPRAZOLE","CIMETIDINE","CRITICAL"
"CIMETIDINE","OXTRIPHYLLINE","CRITICAL"
"CIMETIDINE","PHENPROCOUMON","CRITICAL"
"CIMETIDINE","PHENYTOIN","CRITICAL"
"CIMETIDINE","RANOLAZINE","CRITICAL"
"CIMETIDINE","THEOPHYLLINE","CRITICAL"
"CIMETIDINE","TIZANIDINE","CRITICAL"
"CIMETIDINE","WARFARIN","CRITICAL"
"CIPROFLOXACIN","MESORIDAZINE","CRITICAL"
"CIPROFLOXACIN","OXTRIPHYLLINE","CRITICAL"
"CIPROFLOXACIN","THEOPHYLLINE","CRITICAL"
"CIPROFLOXACIN","THIORIDAZINE","CRITICAL"
"CIPROFLOXACIN","ZIPRASIDONE","CRITICAL"
"CISAPRIDE","CLARITHROMYCIN","CRITICAL"
"CISAPRIDE","CLOMIPRAMINE","CRITICAL"
"CISAPRIDE","DARUNAVIR","CRITICAL"
"CISAPRIDE","DELAVIRDINE MESYLATE","CRITICAL"
"CISAPRIDE","DESIPRAMINE","CRITICAL"
"CISAPRIDE","DESIPRAMINE","CRITICAL"
"CISAPRIDE","DICHLORPHENAMIDE","CRITICAL"
"CISAPRIDE","DILTIAZEM","CRITICAL"
"CISAPRIDE","DISOPYRAMIDE","CRITICAL"
"CISAPRIDE","DOXEPIN","CRITICAL"
"CISAPRIDE","DOXEPIN","CRITICAL"
"CISAPRIDE","EFAVIRENZ","CRITICAL"
"CISAPRIDE","ENCAINIDE","CRITICAL"
"CISAPRIDE","ERYTHROMYCIN","CRITICAL"
"CISAPRIDE","ETHACRYNIC ACID","CRITICAL"
"CISAPRIDE","FLECAINIDE","CRITICAL"
"CISAPRIDE","FLUCONAZOLE","CRITICAL"
"CISAPRIDE","FLUPHENAZINE","CRITICAL"
"CISAPRIDE","FLUVOXAMINE MALEATE","CRITICAL"
"CISAPRIDE","FOSAMPRENAVIR","CRITICAL"
"CISAPRIDE","HALOPERIDOL","CRITICAL"
"CISAPRIDE","HYOSCYAMINE","CRITICAL"
"CISAPRIDE","IBUTILIDE FUMARATE","CRITICAL"
"CISAPRIDE","IMIPRAMINE","CRITICAL"
"CISAPRIDE","IMIPRAMINE","CRITICAL"
"CISAPRIDE","INDINAVIR SULFATE","CRITICAL"
"CISAPRIDE","ITRACONAZOLE","CRITICAL"
"CISAPRIDE","KETOCONAZOLE","CRITICAL"
"CISAPRIDE","LIDOCAINE","CRITICAL"
"CISAPRIDE","MAPROTILINE","CRITICAL"
"CISAPRIDE","MAPROTILINE","CRITICAL"
"CISAPRIDE","METRONIDAZOLE","CRITICAL"
"CISAPRIDE","MEXILETINE","CRITICAL"
"CISAPRIDE","MIBEFRADIL DIHYDROCHLORIDE","CRITICAL"
"CISAPRIDE","MICONAZOLE","CRITICAL"
"CISAPRIDE","MOLINDONE","CRITICAL"
"CISAPRIDE","MORICIZINE","CRITICAL"
"CISAPRIDE","NEFAZODONE","CRITICAL"
"CISAPRIDE","NELFINAVIR MESYLATE","CRITICAL"
"CISAPRIDE","NEVIRAPINE","CRITICAL"
"CISAPRIDE","NORTRIPTYLINE","CRITICAL"
"CISAPRIDE","NORTRIPTYLINE","CRITICAL"
"CISAPRIDE","OLANZAPINE","CRITICAL"
"CISAPRIDE","OLEANDOMYCIN (AS TROLEANDOMYCIN)","CRITICAL"
"CISAPRIDE","PERPHENAZINE","CRITICAL"
"CISAPRIDE","PIMOZIDE","CRITICAL"
"CISAPRIDE","PROCAINAMIDE","CRITICAL"
"CISAPRIDE","PROCHLORPERAZINE","CRITICAL"
"CISAPRIDE","PROMAZINE","CRITICAL"
"CISAPRIDE","PROMETHAZINE","CRITICAL"
"CISAPRIDE","PROPAFENONE","CRITICAL"
"CISAPRIDE","PROTRIPTYLINE","CRITICAL"
"CISAPRIDE","PROTRIPTYLINE","CRITICAL"
"CISAPRIDE","QUETIAPINE FUMARATE","CRITICAL"
"QUETIAPINE FUMARATE","CISAPRIDE","CRITICAL"
"CISAPRIDE","QUINIDINE","CRITICAL"
"CISAPRIDE","RITONAVIR","CRITICAL"
"SAQUINAVIR","CISAPRIDE","CRITICAL"
"CISAPRIDE","SERTINDOLE","CRITICAL"
"CISAPRIDE","SOTALOL","CRITICAL"
"CISAPRIDE","TELITHROMYCIN","CRITICAL"
"CISAPRIDE","THIORIDAZINE","CRITICAL"
"CISAPRIDE","THIOTHIXENE","CRITICAL"
"CISAPRIDE","TOCAINIDE","CRITICAL"
"CISAPRIDE","TRIFLUOPERAZINE","CRITICAL"
"CISAPRIDE","TRIMIPRAMINE","CRITICAL"
"CISAPRIDE","TRIMIPRAMINE","CRITICAL"
"CISAPRIDE","VORICONAZOLE","CRITICAL"
"CISAPRIDE","ZIPRASIDONE","CRITICAL"
"CISPLATIN","DARUNAVIR","CRITICAL"
"CITALOPRAM","CLOZAPINE","CRITICAL"
"CITALOPRAM","LINEZOLID","CRITICAL"
"CITALOPRAM","PARGYLINE","CRITICAL"
"CITALOPRAM","PHENELZINE","CRITICAL"
"CITALOPRAM","PIMOZIDE","CRITICAL"
"CITALOPRAM","SELEGILINE","CRITICAL"
"CITALOPRAM","TRANYLCYPROMINE","CRITICAL"
"CLARITHROMYCIN","COLCHICINE","CRITICAL"
"CLARITHROMYCIN","CYCLOSPORINE","CRITICAL"
"CLARITHROMYCIN","DIGITALIS","CRITICAL"
"CLARITHROMYCIN","DISOPYRAMIDE","CRITICAL"
"CLARITHROMYCIN","ERGOT","CRITICAL"
"CLARITHROMYCIN","FENTANYL","CRITICAL"
"CLARITHROMYCIN","LOVASTATIN","CRITICAL"
"CLARITHROMYCIN","OXTRIPHYLLINE","CRITICAL"
"CLARITHROMYCIN","PIMOZIDE","CRITICAL"
"CLARITHROMYCIN","QUINIDINE","CRITICAL"
"CLARITHROMYCIN","RANOLAZINE","CRITICAL"
"CLARITHROMYCIN","SIMVASTATIN","CRITICAL"
"CLARITHROMYCIN","THEOPHYLLINE","CRITICAL"
"CLARITHROMYCIN","VERAPAMIL","CRITICAL"
"CLARITHROMYCIN","WARFARIN","CRITICAL"
"CLARITHROMYCIN","ZIPRASIDONE","CRITICAL"
"CLOFIBRATE","DICUMAROL","CRITICAL"
"CLOFIBRATE","PHENPROCOUMON","CRITICAL"
"CLOFIBRATE","WARFARIN","CRITICAL"
"CLOMIPRAMINE","CLONIDINE","CRITICAL"
"CLOMIPRAMINE","PARGYLINE","CRITICAL"
"CLOMIPRAMINE","PHENELZINE","CRITICAL"
"CLOMIPRAMINE","TRANYLCYPROMINE","CRITICAL"
"CLONIDINE","DESIPRAMINE","CRITICAL"
"CLONIDINE","DOXEPIN","CRITICAL"
"CLONIDINE","IMIPRAMINE","CRITICAL"
"CLONIDINE","NORTRIPTYLINE","CRITICAL"
"CLONIDINE","PROTRIPTYLINE","CRITICAL"
"CLONIDINE","TRIMIPRAMINE","CRITICAL"
"CLOZAPINE","FLUOXETINE","CRITICAL"
"CLOZAPINE","PAROXETINE","CRITICAL"
"COLCHICINE","CYCLOSPORINE","CRITICAL"
"COLCHICINE","ERYTHROMYCIN","CRITICAL"
"COLCHICINE","TELITHROMYCIN","CRITICAL"
"CRANBERRY EXTRACT","WARFARIN","CRITICAL"
"CYCLOSPORINE","DILTIAZEM","CRITICAL"
"CYCLOSPORINE","ERYTHROMYCIN","CRITICAL"
"CYCLOSPORINE","ETHOTOIN","CRITICAL"
"CYCLOSPORINE","ETOPOSIDE","CRITICAL"
"CYCLOSPORINE","FLUCONAZOLE","CRITICAL"
"CYCLOSPORINE","FOSCARNET","CRITICAL"
"CYCLOSPORINE","FOSPHENYTOIN SODIUM","CRITICAL"
"CYCLOSPORINE","HYPERICUM PERFORATUM (ST. JOHN'S WORT)","CRITICAL"
"CYCLOSPORINE","ITRACONAZOLE","CRITICAL"
"CYCLOSPORINE","LOVASTATIN","CRITICAL"
"CYCLOSPORINE","MEPHENYTOIN","CRITICAL"
"CYCLOSPORINE","OLEANDOMYCIN (AS TROLEANDOMYCIN)","CRITICAL"
"CYCLOSPORINE","ORLISTAT","CRITICAL"
"CYCLOSPORINE","PHENYTOIN","CRITICAL"
"CYCLOSPORINE","RANOLAZINE","CRITICAL"
"CYCLOSPORINE","RIFABUTIN","CRITICAL"
"CYCLOSPORINE","RIFAMPIN","CRITICAL"
"CYCLOSPORINE","RIFAPENTINE","CRITICAL"
"CYCLOSPORINE","ROSUVASTATIN","CRITICAL"
"SIMVASTATIN","CYCLOSPORINE","CRITICAL"
"CYCLOSPORINE","SULFACYTINE","CRITICAL"
"CYCLOSPORINE","SULFADIAZINE","CRITICAL"
"CYCLOSPORINE","SULFAMETHIZOLE","CRITICAL"
"CYCLOSPORINE","SULFAMETHOXAZOLE","CRITICAL"
"CYCLOSPORINE","SULFASALAZINE","CRITICAL"
"CYCLOSPORINE","SULFISOXAZOLE","CRITICAL"
"CYCLOSPORINE","VERAPAMIL","CRITICAL"
"CYCLOSPORINE","VORICONAZOLE","CRITICAL"
"CYCLOTHIAZIDE","LITHIUM","CRITICAL"
"DANAZOL","DICUMAROL","CRITICAL"
"DANAZOL","PHENPROCOUMON","CRITICAL"
"DARUNAVIR","ERGOT","CRITICAL"
"DARUNAVIR","ITRACONAZOLE","CRITICAL"
"DARUNAVIR","KETOCONAZOLE","CRITICAL"
"DARUNAVIR","LOVASTATIN","CRITICAL"
"DARUNAVIR","METHYLERGONOVINE","CRITICAL"
"DARUNAVIR","MIDAZOLAM","CRITICAL"
"DARUNAVIR","PIMOZIDE","CRITICAL"
"DARUNAVIR","RIFABUTIN","CRITICAL"
"DARUNAVIR","RIFAMPIN","CRITICAL"
"DARUNAVIR","SIMVASTATIN","CRITICAL"
"DARUNAVIR","TERFENADINE","CRITICAL"
"DARUNAVIR","TRIAZOLAM","CRITICAL"
"DAUNORUBICIN","TRASTUZUMAB","CRITICAL"
"DELAVIRDINE MESYLATE","ERGOT","CRITICAL"
"DELAVIRDINE MESYLATE","LOVASTATIN","CRITICAL"
"DELAVIRDINE MESYLATE","METHYLERGONOVINE","CRITICAL"
"METHYSERGIDE","DELAVIRDINE MESYLATE","CRITICAL"
"DELAVIRDINE MESYLATE","MIDAZOLAM","CRITICAL"
"DELAVIRDINE MESYLATE","NELFINAVIR MESYLATE","CRITICAL"
"DELAVIRDINE MESYLATE","RANOLAZINE","CRITICAL"
"DELAVIRDINE MESYLATE","RIFABUTIN","CRITICAL"
"DELAVIRDINE MESYLATE","RIFAMPIN","CRITICAL"
"DELAVIRDINE MESYLATE","SIMVASTATIN","CRITICAL"
"DELAVIRDINE MESYLATE","TRIAZOLAM","CRITICAL"
"DESIPRAMINE","FLUCONAZOLE","CRITICAL"
"DESIPRAMINE","ITRACONAZOLE","CRITICAL"
"DESIPRAMINE","KETOCONAZOLE","CRITICAL"
"DESIPRAMINE","ZIPRASIDONE","CRITICAL"
"DESOGESTREL","RIFAPENTINE","CRITICAL"
"DEXAMETHASONE","THALIDOMIDE","CRITICAL"
"DEXTROAMPHETAMINE","PARGYLINE","CRITICAL"
"DEXTROAMPHETAMINE","PHENELZINE","CRITICAL"
"DEXTROAMPHETAMINE","TRANYLCYPROMINE","CRITICAL"
"DEXTROMETHORPHAN","PARGYLINE","CRITICAL"
"DEXTROMETHORPHAN","PHENELZINE","CRITICAL"
"SELEGILINE","DEXTROMETHORPHAN","CRITICAL"
"DEXTROMETHORPHAN","TRANYLCYPROMINE","CRITICAL"
